rut_id,nombre,apellido,telefono,correo,direccion
12345678-0, Javier, Ramirez, 12345678, javier.ramirez@example.com, Avenida 951
23456789-1, Elena, Fernandez, 23456789, elena.fernandez@example.com, Plaza 147
34567890-2, Miguel, Gutierrez, 34567890, miguel.gutierrez@example.com, Calle 258
45678901-3, Carmen, Jimenez, 45678901, carmen.jimenez@example.com, Avenida 369
56789012-4, Ricardo, Perez, 56789012, ricardo.perez@example.com, Plaza 753
67890123-5, Isabel, Lopez, 67890123, isabel.lopez@example.com, Calle 147
78901234-6, Alejandro, Gonzalez, 78901234, alejandro.gonzalez@example.com, Avenida 258
89012345-7, Camila, Martinez, 89012345, camila.martinez@example.com, Plaza 369
90123456-8, Andres, Sanchez, 90123456, andres.sanchez@example.com, Calle 753
01234567-9, Lucia, Hernandez, 01234567, lucia.hernandez@example.com, Avenida 951
38038539-1,Ana,Santos,43389141,ana.santos@correo.com,Avenida 328
21328672-0,Diego,Morales,97339263,diego.morales@example.com,Calle 91
94265192-3,Ana,Martinez,77390384,ana.martinez@correo.com,Avenida 444
10803393-6,Diego,Castro,97173424,diego.castro@example.com,Avenida 364
57868625-1,Andres,Diaz,52050239,andres.diaz@correo.com,Avenida 803
20275164-2,Paula,Morales,79830947,paula.morales@correo.com,Calle 275
21568048-5,Carlos,Morales,29883795,carlos.morales@example.com,Calle 224
72262353-8,Luis,Martinez,34829895,luis.martinez@mail.com,Calle 948
84866804-3,Valeria,Vega,69497938,valeria.vega@correo.com,Avenida 154
45042009-3,Ana,Morales,70941256,ana.morales@mail.com,Avenida 448
