rut_id,nombre,direccion,correo,telefono
P001,Carlos García,'Calle Los Cedros 123, Santiago',carlos.garcia@custombikes.com,987654321
P002,Ana Pérez,'Av. Las Palmas 456, Viña del Mar',ana.perez@custombikes.com,912345678
P003,Luis Fernández,'Calle Las Flores 789, Concepción',luis.fernandez@custombikes.com,923456789
P004,Marta Rojas,'Av. Libertador 101, La Serena',marta.rojas@custombikes.com,934567890
P005,Pedro López,'Calle Principal 202, Santiago',pedro.lopez@gmail.com,945678901
P006,Laura Gómez,'Av. Los Robles 303, Valparaíso',laura.gomez@gmail.com,956789012
P007,Jorge Silva,'Calle Los Pinos 404, Temuco',jorge.silva@gmail.com,967890123
P008,María Herrera,'Av. Alameda 505, Rancagua',maria.herrera@gmail.com,978901234
P009,Andrés Castillo,'Calle Los Álamos 606, Antofagasta',andres.castillo@gmail.com,989012345
P010,Sofía Torres,'Calle del Sol 707, Talca',sofia.torres@gmail.com,990123456
